,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
31191,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119138,2019-11-08 10:49:16:749,-5.7337,-3.6433,10.5186,0.0242,0.0271,9.8065,0.005,0.2935,-0.1197,-14.81,-45.5,31.19,343.61,-82.29,-167.59
31192,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119238,2019-11-08 10:49:16:849,-0.2185,-1.5668,10.3194,0.0353,0.0397,9.8065,-0.2456,0.6898,-0.3804,-15.0,-45.25,31.0,346.67,-82.09,-165.01
31193,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119338,2019-11-08 10:49:16:949,-4.27,-4.6021,11.1865,0.0495,0.0735,9.8062,-0.1612,0.7974,-0.4142,-16.19,-44.81,30.94,342.85,-82.2,-166.74
31194,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119439,2019-11-08 10:49:17:050,-0.8551,-2.4486,9.8193,-0.0134,-0.0169,9.8066,-0.0853,0.6544,-0.3501,-15.37,-45.25,30.94,346.01,-82.21,-165.59
31195,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119539,2019-11-08 10:49:17:150,5.6644,4.4372,7.975,0.0341,0.0494,9.8064,-0.0696,0.3552,-0.2041,-15.37,-44.81,31.31,346.65,-82.04,-165.01
31196,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119639,2019-11-08 10:49:17:250,-3.3861,-1.7601,10.237,-0.0764,-0.0705,9.806,0.0206,-0.3111,0.2366,-14.87,-45.0,30.31,342.14,-82.31,-167.99
31197,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119739,2019-11-08 10:49:17:350,5.8466,1.9001,8.6956,-0.0096,-0.0454,9.8065,0.0688,-0.504,0.3007,-15.25,-44.0,30.69,345.24,-82.02,-166.21
31198,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119839,2019-11-08 10:49:17:450,-1.0397,-0.5971,10.0298,-0.0556,-0.0577,9.8063,0.1075,-0.6795,0.457,-14.87,-44.75,30.63,343.62,-82.14,-167.52
31199,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3119939,2019-11-08 10:49:17:550,4.699,2.7028,8.9811,-0.0608,-0.0599,9.8062,0.0904,-0.6486,0.4464,-15.06,-45.12,30.56,346.98,-81.93,-164.7
31200,53.311264,-1.283505,181.79,26.03,6,10.1,24 / 24,3120038,2019-11-08 10:49:17:649,-0.6871,-1.2574,9.8126,-0.0094,-0.017,9.8066,0.0506,-0.4214,0.2683,-15.0,-44.87,30.44,346.14,-82.02,-164.61
