,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
3053,53.014133,-1.732617,180.63,1.3,4,76.03,19 / 20,1992111,2019-11-06 12:19:05:992,-0.9857,-0.9942,9.8136,0.0028,0.0107,9.8066,-0.0384,-0.0868,0.0364,-19.12,-39.37,-2.87,5.25,-86.94,-76.35
3054,53.014133,-1.732617,180.63,1.3,4,76.03,19 / 20,1992212,2019-11-06 12:19:06:093,0.2597,0.5341,10.1657,-0.0206,0.0116,9.8065,-0.0563,0.0478,-0.0126,-18.87,-40.06,-2.69,6.78,-87.01,-74.99
3055,53.014133,-1.732617,180.63,1.3,4,76.03,19 / 20,1992312,2019-11-06 12:19:06:193,-0.4357,1.5383,9.6609,-0.0064,0.008,9.8066,-0.011,0.0056,0.0275,-19.0,-40.06,-2.87,5.98,-87.02,-75.7
3056,53.014133,-1.732617,180.63,1.3,4,76.03,19 / 20,1992412,2019-11-06 12:19:06:293,0.045,-0.1478,10.2621,-0.0026,-0.0021,9.8066,-0.056,0.1022,-0.042,-19.62,-40.06,-2.06,8.81,-86.88,-76.45
3057,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1992513,2019-11-06 12:19:06:394,0.67,0.1067,9.4142,0.0079,-0.0031,9.8066,0.0117,0.0386,0.0615,-19.56,-39.56,-2.12,5.37,-86.64,-79.55
3058,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1992612,2019-11-06 12:19:06:493,-1.0072,-1.3464,9.4873,0.0053,0.0057,9.8066,-0.0006,0.1289,-0.1325,-19.19,-39.06,-2.37,4.15,-86.59,-80.35
3059,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1992711,2019-11-06 12:19:06:592,0.0509,0.8636,9.7578,0.0152,0.0146,9.8066,-0.0815,0.124,-0.0977,-19.31,-40.0,-2.69,2.63,-86.79,-78.71
3060,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1992811,2019-11-06 12:19:06:692,-0.6903,0.0449,10.1387,-0.0018,0.0252,9.8066,-0.0157,0.0671,0.0288,-19.12,-40.25,-3.0,2.94,-87.08,-78.4
3061,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1992912,2019-11-06 12:19:06:793,0.2232,0.6278,9.9128,0.0099,-0.0128,9.8066,-0.048,0.0609,-0.0974,-19.12,-39.87,-3.31,3.14,-87.12,-78.22
3062,53.014133,-1.732617,180.63,1.3,4,76.03,22 / 22,1993011,2019-11-06 12:19:06:892,-1.398,-0.5093,9.8115,-0.0036,0.0006,9.8066,0.0155,0.0522,0.0261,-18.81,-39.37,-2.0,8.34,-87.13,-76.51
