,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
2440,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244020,2019-11-06 10:45:51:363,-2.5227,-0.645,10.9325,0.0053,0.0348,9.8065,-0.1459,0.2363,-0.1877,-3.69,-36.69,5.5,92.86,-89.08,-58.2
2441,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244120,2019-11-06 10:45:51:463,-1.2987,-0.8348,9.8593,-0.0053,0.0246,9.8066,0.0153,-0.259,0.0536,-4.12,-36.37,6.06,101.28,-89.03,-49.8
2442,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244219,2019-11-06 10:45:51:562,0.1683,-0.5051,10.1594,-0.0356,0.0009,9.8065,-0.0827,0.0967,-0.065,-3.81,-36.94,5.56,101.28,-89.03,-49.8
2443,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244319,2019-11-06 10:45:51:662,1.9244,1.7925,8.8443,-0.0048,0.0333,9.8065,-0.0045,0.3093,-0.1877,-3.69,-36.62,5.56,100.74,-88.82,-51.52
2444,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244420,2019-11-06 10:45:51:763,1.8739,0.8368,9.0315,0.0069,0.0404,9.8065,-0.0379,0.098,0.0178,-3.62,-36.31,5.56,111.82,-88.79,-40.09
2445,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244520,2019-11-06 10:45:51:863,-0.4511,-2.4,9.9586,-0.0181,0.0181,9.8066,0.0088,-0.1441,-0.0068,-3.62,-36.25,5.44,111.82,-88.79,-40.09
2446,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244620,2019-11-06 10:45:51:963,0.0742,-0.0168,9.1329,-0.0308,0.0182,9.8065,-0.1196,-0.2745,0.1256,-3.94,-36.19,5.88,114.84,-88.65,-37.57
2447,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244722,2019-11-06 10:45:52:065,1.0147,1.4142,9.1416,-0.0167,0.0191,9.8065,0.013,-0.0921,0.0551,-4.37,-36.0,5.88,118.98,-88.21,-35.16
2448,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244820,2019-11-06 10:45:52:163,-0.1327,1.309,11.313,0.0142,0.0192,9.8066,0.1011,0.0525,-0.0784,-3.56,-36.12,5.06,119.38,-88.22,-30.69
2449,52.55651,-1.476368,146.47,18.49,3,296.31,22 / 23,244920,2019-11-06 10:45:52:263,0.3057,0.0489,10.484,0.0188,-0.0095,9.8066,-0.0185,0.1171,-0.1535,-4.0,-36.31,5.25,119.38,-88.22,-30.69
2450,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245020,2019-11-06 10:45:52:363,-0.0426,1.2424,9.3921,0.0018,-0.0195,9.8066,-0.0504,0.0176,-0.0405,-3.81,-36.0,5.06,117.89,-88.36,-31.64
2451,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245120,2019-11-06 10:45:52:463,1.3666,-2.3546,10.18,-0.0013,0.0131,9.8065,-0.0464,0.1071,-0.0203,-3.94,-36.25,5.69,115.66,-88.48,-37.52
2452,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245220,2019-11-06 10:45:52:563,0.8272,0.1,10.2967,0.0005,0.0457,9.8065,-0.0449,-0.0563,0.0814,-4.06,-36.25,4.5,115.66,-88.48,-37.52
2453,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245320,2019-11-06 10:45:52:663,1.4986,-1.3466,10.1228,0.0007,-0.0251,9.8065,0.1136,-0.0563,-0.1196,-3.75,-36.56,5.5,121.66,-88.32,-27.75
2454,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245419,2019-11-06 10:45:52:762,0.6562,-1.3227,9.9558,-0.012,0.0025,9.8066,-0.1706,0.0418,-0.0591,-4.31,-36.0,5.81,119.48,-88.41,-33.74
2455,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245519,2019-11-06 10:45:52:862,1.1108,1.3951,10.1514,-0.017,0.0317,9.8065,0.0933,0.2086,-0.0465,-3.75,-36.31,5.88,123.58,-88.23,-30.1
2456,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245620,2019-11-06 10:45:52:963,2.5198,0.9496,9.4566,0.017,-0.0019,9.8066,-0.1263,0.0609,-0.0363,-3.56,-36.31,6.25,123.58,-88.23,-30.1
2457,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245720,2019-11-06 10:45:53:063,-1.561,0.0802,9.9367,0.0058,-0.034,9.8066,0.0911,-0.1018,0.0423,-3.69,-35.94,5.94,122.07,-88.32,-31.38
2458,52.556587,-1.476609,146.45,18.09,3,296.57,25 / 26,245820,2019-11-06 10:45:53:163,-1.6067,-1.1165,10.083,-0.0097,-0.039,9.8065,-0.0277,-0.1195,0.0078,-3.5,-36.12,5.5,121.61,-88.37,-39.27
