,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
2268,53.177635,-1.675192,205.5,13.45,4,276.73,22 / 23,226814,2019-11-06 16:10:07:276,1.1109,-2.4429,10.2671,-0.0451,-0.0106,9.8065,0.0007,0.2069,-0.0321,7.06,-37.31,14.38,35.49,-83.51,179.81
2269,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,226914,2019-11-06 16:10:07:376,0.105,0.0559,10.0237,-0.0328,0.0307,9.8065,0.0411,-0.0833,-0.0401,7.44,-36.81,14.5,35.75,-83.52,-177.94
2270,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227014,2019-11-06 16:10:07:476,-0.9106,-0.47,9.6577,-0.0019,-0.006,9.8066,-0.0031,-0.0742,-0.0406,7.13,-37.62,13.88,36.61,-83.52,-179.55
2271,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227113,2019-11-06 16:10:07:575,-1.1002,-0.0403,10.1291,-0.029,0.0047,9.8066,0.0165,-0.0498,0.1078,7.19,-37.37,14.31,37.41,-83.64,-178.51
2272,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227213,2019-11-06 16:10:07:675,-1.9508,2.6037,10.6929,0.0558,0.0314,9.8063,0.0358,-0.3936,0.2231,7.44,-37.37,14.0,36.22,-83.84,-179.13
2273,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227313,2019-11-06 16:10:07:775,-1.2298,0.908,11.4011,-0.0438,0.0039,9.8065,0.0351,-0.1674,0.0378,6.88,-36.94,14.5,30.35,-83.5,177.82
2274,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227413,2019-11-06 16:10:07:875,1.4734,-2.131,9.4439,-0.0145,-0.038,9.8065,0.1113,-0.2092,0.1557,7.75,-37.62,15.06,34.14,-83.11,177.19
2275,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227513,2019-11-06 16:10:07:975,1.7467,0.468,9.1424,0.0017,-0.0224,9.8065,-0.0254,-0.0247,-0.1905,7.88,-37.19,14.88,30.37,-83.16,174.57
2276,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227614,2019-11-06 16:10:08:076,1.6043,-1.3565,10.5283,-0.003,0.0225,9.8066,0.0402,0.1496,-0.0528,8.19,-37.87,15.25,32.73,-83.34,176.41
2277,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227714,2019-11-06 16:10:08:176,-0.0891,-1.5898,9.4813,-0.0115,0.0142,9.8066,-0.0633,0.2036,0.0215,8.0,-37.19,15.13,31.3,-83.19,175.33
2278,53.177834,-1.677182,209.75,14.28,4,278.85,21 / 23,227814,2019-11-06 16:10:08:276,-1.5115,-0.2243,8.7891,0.0391,0.0236,9.8065,-0.0752,-0.1188,0.0049,8.06,-36.94,14.69,30.69,-83.28,174.96
2279,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,227914,2019-11-06 16:10:08:376,3.8366,3.0463,10.895,-0.0181,0.0039,9.8066,0.1618,0.205,-0.0064,8.63,-36.87,14.94,33.08,-83.27,174.14
2280,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228014,2019-11-06 16:10:08:476,2.0679,0.6043,10.2555,0.0453,-0.0549,9.8063,-0.0268,-0.1327,-0.0365,8.0,-36.94,15.06,24.88,-83.1,170.33
2281,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228113,2019-11-06 16:10:08:575,1.799,0.3421,9.8445,0.0304,0.0208,9.8065,-0.0515,0.0945,-0.0329,8.56,-37.25,15.69,24.73,-83.39,169.65
2282,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228213,2019-11-06 16:10:08:675,-1.7988,-1.293,9.3123,0.0075,-0.0049,9.8066,0.0108,-0.1016,0.1317,7.94,-37.06,15.19,19.3,-83.48,166.42
2283,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228313,2019-11-06 16:10:08:775,1.1201,-3.6995,10.6296,0.0046,0.0206,9.8065,-0.053,0.3257,-0.1339,8.44,-36.62,15.0,18.33,-83.36,165.6
2284,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228414,2019-11-06 16:10:08:876,0.2817,0.4312,8.6546,0.0331,-0.0155,9.8065,0.1327,0.3123,-0.0663,8.75,-36.75,15.31,18.25,-83.76,163.05
2285,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228514,2019-11-06 16:10:08:976,3.3922,-1.7662,9.0629,0.0369,-0.0375,9.8064,0.0627,0.1661,-0.1612,8.63,-36.37,15.5,13.45,-83.35,160.97
2286,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228614,2019-11-06 16:10:09:076,2.0727,2.4714,10.0911,0.0007,0.0148,9.8066,0.0259,0.195,0.1098,8.63,-36.44,15.56,14.26,-83.34,161.6
2287,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228714,2019-11-06 16:10:09:176,2.9755,0.5013,8.9397,0.0284,-0.0244,9.8065,-0.0575,0.0487,-0.2861,8.88,-36.5,15.69,10.9,-83.41,159.03
2288,53.177834,-1.677182,209.75,14.28,4,278.85,23 / 23,228814,2019-11-06 16:10:09:276,0.7138,-0.2437,11.2397,-0.0342,0.0119,9.8066,-0.078,0.1285,-0.1737,9.19,-36.81,16.25,14.32,-83.29,161.53
2289,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,228914,2019-11-06 16:10:09:376,2.3727,-1.8212,10.6881,-0.0283,0.033,9.8065,-0.1,0.0235,0.1963,9.25,-36.5,16.81,8.58,-83.13,158.71
2290,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229013,2019-11-06 16:10:09:475,3.3791,0.6921,7.9506,-0.0088,0.0072,9.8066,-0.2087,0.0356,0.0739,8.31,-36.44,16.5,7.76,-83.2,160.75
2291,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229114,2019-11-06 16:10:09:576,1.4898,0.1278,11.0191,-0.0446,0.0265,9.8064,0.154,0.0365,0.1632,8.44,-37.0,17.06,14.51,-83.47,166.0
2292,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229214,2019-11-06 16:10:09:676,2.6365,-1.4831,9.0828,0.01,-0.0077,9.8066,0.0836,0.1042,0.0283,8.19,-36.69,17.44,14.83,-83.62,166.33
2293,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229314,2019-11-06 16:10:09:776,0.0103,0.5414,10.3817,-0.0121,-0.0016,9.8066,0.1391,0.0052,0.0077,7.88,-37.69,17.44,18.44,-83.81,169.18
2294,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229414,2019-11-06 16:10:09:876,1.7917,1.8245,9.2891,-0.0117,-0.0133,9.8066,-0.021,0.326,0.0263,7.5,-36.62,17.5,19.48,-83.71,171.47
2295,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229514,2019-11-06 16:10:09:976,3.5626,-0.647,9.1082,0.0404,0.0197,9.8065,-0.0613,0.0741,-0.1149,6.94,-37.0,17.56,18.4,-83.86,173.34
2296,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229614,2019-11-06 16:10:10:076,2.9202,0.6021,10.8978,-0.0329,0.0182,9.8065,0.0155,0.3467,0.0212,7.94,-36.69,17.81,23.55,-83.99,174.96
2297,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229714,2019-11-06 16:10:10:176,1.7814,2.7034,8.6349,-0.0177,0.0136,9.8066,-0.1429,0.0694,0.1061,7.25,-36.56,19.0,21.26,-83.89,176.88
2298,53.177834,-1.677182,209.75,14.28,4,278.85,22 / 23,229814,2019-11-06 16:10:10:276,2.604,0.2634,11.7202,-0.0374,0.0308,9.8065,-0.1558,0.0632,0.1607,7.06,-37.12,19.5,22.98,-83.54,179.16
