,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
2269,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,226908,2020-01-08 16:25:01:884,2.7875,-1.1973,9.3169,-0.0334,0.029,9.8065,-0.0841,-0.1378,0.229,-6.0,-36.0,-13.44,209.28,-87.5,-172.44
2270,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227008,2020-01-08 16:25:01:984,0.4846,-0.7136,10.4694,0.0448,-0.0069,9.8065,0.0101,0.0908,0.0726,-6.19,-35.81,-13.44,210.08,-87.58,-171.67
2271,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227108,2020-01-08 16:25:02:084,-1.1109,-0.2659,10.0333,0.0036,0.0058,9.8066,-0.0657,0.492,-0.0424,-5.69,-36.19,-13.56,210.56,-87.42,-169.56
2272,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227207,2020-01-08 16:25:02:183,1.0188,-0.306,12.717,-0.0178,-0.0365,9.8065,-0.3092,0.0125,-0.2339,-5.69,-36.94,-13.62,212.58,-87.42,-167.27
2273,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227307,2020-01-08 16:25:02:283,0.7745,-3.4566,8.2138,0.0441,0.0747,9.8063,-0.1921,-0.2198,0.0189,-6.37,-36.06,-13.81,209.39,-87.15,-170.53
2274,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227407,2020-01-08 16:25:02:383,-2.3961,1.2742,10.0514,-0.0275,0.0163,9.8066,-0.1774,-0.2506,0.4976,-5.75,-36.12,-13.75,207.57,-87.28,-172.68
2275,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227508,2020-01-08 16:25:02:484,0.3722,-2.4923,8.7712,-0.0711,0.0454,9.8063,-0.0529,-0.466,0.4104,-5.75,-36.12,-13.56,204.94,-87.28,-175.57
2276,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227608,2020-01-08 16:25:02:584,-4.662,1.4694,9.1181,-0.036,-0.0052,9.8065,0.0647,-0.4608,0.2556,-5.19,-35.5,-13.44,207.43,-87.28,-170.48
2277,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227709,2020-01-08 16:25:02:685,-0.2082,0.7366,10.878,-0.07,-0.0152,9.8063,0.1383,-0.2848,0.1681,-5.81,-35.56,-13.25,206.19,-87.5,-175.83
2278,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 23,227808,2020-01-08 16:25:02:784,-4.1237,1.9558,8.9183,0.0217,-0.0169,9.8066,0.1056,-0.0665,0.0034,-5.12,-35.69,-13.44,205.52,-87.38,-172.62
2279,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 24,227907,2020-01-08 16:25:02:883,1.6307,-0.7012,10.1434,-0.0512,-0.0117,9.8065,0.0349,0.0095,-0.0008,-5.81,-35.19,-12.56,203.62,-87.37,-178.6
2280,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 24,228008,2020-01-08 16:25:02:984,4.3359,-1.8551,10.223,0.0614,0.0011,9.8064,-0.0848,0.2194,-0.1604,-5.56,-36.06,-12.62,203.97,-87.41,-178.18
2281,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 24,228108,2020-01-08 16:25:03:084,2.0069,-2.1944,9.4234,-0.0134,0.0154,9.8066,-0.0986,0.3906,-0.1921,-5.25,-35.37,-12.44,203.7,-87.23,-175.95
2282,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 24,228208,2020-01-08 16:25:03:184,1.4754,0.4703,11.0057,0.0654,0.0141,9.8063,-0.144,0.3019,-0.2378,-5.37,-35.0,-12.75,202.2,-87.46,-176.44
2283,52.329685,-2.085045,150.38,24.87,4,15.25,23 / 24,228308,2020-01-08 16:25:03:284,-1.9731,1.7831,9.4494,0.0061,0.0514,9.8065,-0.0974,0.2804,-0.1337,-4.81,-35.19,-12.37,204.23,-87.24,-175.37
