,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
5288,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,842808,2020-01-08 16:35:17:784,1.0187,0.9615,9.8016,0.0018,-0.0017,9.8066,0.0109,0.1814,-0.1569,-16.56,-33.37,11.13,308.98,-85.27,-167.82
5289,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,842908,2020-01-08 16:35:17:884,0.0969,1.6716,8.8395,0.0077,0.0257,9.8066,0.0095,0.237,-0.0882,-16.87,-32.56,10.63,308.19,-85.19,-168.43
5290,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843008,2020-01-08 16:35:17:984,0.197,-1.376,10.9688,-0.0179,0.0312,9.8065,0.1174,-0.0597,-0.1392,-16.62,-34.06,10.63,306.62,-85.21,-169.71
5291,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843108,2020-01-08 16:35:18:084,1.2696,-0.2914,10.1278,0.0157,-0.0069,9.8066,0.1463,-0.0508,-0.009,-17.0,-31.62,11.0,307.57,-85.16,-169.16
5292,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843208,2020-01-08 16:35:18:184,-0.744,-0.5834,10.0932,-0.0109,0.0011,9.8066,0.0379,-0.1142,0.0517,-16.62,-33.81,10.5,307.62,-85.1,-168.64
5293,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843308,2020-01-08 16:35:18:284,-0.982,-0.805,10.9515,0.016,-0.0219,9.8066,0.0153,-0.0214,0.0262,-16.62,-32.37,11.06,308.05,-84.87,-168.34
5294,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843408,2020-01-08 16:35:18:384,0.5557,-0.5214,9.7331,0.0192,-0.016,9.8066,-0.1448,0.094,0.0215,-16.81,-33.25,11.56,309.52,-84.74,-169.12
5295,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843508,2020-01-08 16:35:18:484,0.1924,-0.9238,9.6331,-0.0051,0.0166,9.8066,-0.1062,0.0781,0.0024,-16.31,-32.37,11.81,311.73,-84.85,-168.87
5296,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843608,2020-01-08 16:35:18:584,0.0147,-1.5583,10.1927,-0.0069,0.0186,9.8066,0.0163,-0.0477,0.0208,-17.0,-32.25,11.88,309.79,-85.07,-169.48
5297,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843708,2020-01-08 16:35:18:684,1.0474,0.3033,10.3832,0.0235,-0.0013,9.8066,0.0258,-0.154,0.0633,-17.62,-30.06,10.5,305.7,-85.0,-169.83
5298,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843808,2020-01-08 16:35:18:784,0.1589,-2.6254,10.949,0.0273,0.0251,9.8065,0.0702,-0.2423,0.161,-17.19,-32.56,10.63,304.17,-84.81,-171.59
5299,52.3548,-1.878015,222.06,25.58,4,101.74,23 / 25,843908,2020-01-08 16:35:18:884,0.6682,-0.155,9.958,0.0088,-0.0169,9.8065,0.0397,-0.3284,0.1044,-16.44,-30.62,11.44,306.94,-84.77,-170.76
5300,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844008,2020-01-08 16:35:18:984,0.2906,2.7492,9.0815,-0.0042,-0.0014,9.8066,-0.0493,-0.0589,-0.0036,-16.69,-33.19,11.0,305.13,-84.77,-170.67
5301,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844107,2020-01-08 16:35:19:083,-2.2235,-2.5815,10.7118,-0.0021,-0.0456,9.8065,-0.0081,0.3292,-0.1097,-16.62,-31.31,10.69,307.47,-84.81,-169.0
5302,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844208,2020-01-08 16:35:19:184,-1.2288,2.5862,9.0145,0.001,-0.0296,9.8065,-0.0548,0.291,-0.1617,-16.75,-32.75,12.25,309.07,-84.87,-169.7
5303,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844308,2020-01-08 16:35:19:284,-1.0295,-1.2706,10.4455,-0.0054,-0.0075,9.8066,-0.049,0.2083,-0.0882,-17.25,-30.44,11.0,306.58,-85.05,-170.31
5304,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844408,2020-01-08 16:35:19:384,0.6804,-1.4907,10.8768,-0.0031,-0.0216,9.8066,0.0261,0.106,-0.0692,-16.69,-33.06,10.81,307.2,-85.04,-169.14
5305,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844508,2020-01-08 16:35:19:484,0.0697,0.1488,10.5435,-0.0216,0.0256,9.8066,-0.0812,-0.1458,0.093,-15.81,-31.81,10.44,305.36,-84.92,-169.49
5306,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844607,2020-01-08 16:35:19:583,-1.6987,-1.4747,9.8809,0.0233,0.0134,9.8066,-0.0715,-0.2129,0.1034,-16.37,-33.69,11.19,306.88,-85.07,-170.59
5307,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844708,2020-01-08 16:35:19:684,-0.4646,0.145,9.7874,0.0069,0.001,9.8066,0.0234,-0.078,0.1739,-16.12,-32.06,11.0,307.43,-85.12,-170.57
5308,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 24,844809,2020-01-08 16:35:19:785,-0.1604,-1.2788,10.4699,0.0055,0.0204,9.8066,-0.0212,-0.0853,0.0698,-16.06,-33.75,11.69,310.45,-85.16,-170.04
5309,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 25,844908,2020-01-08 16:35:19:884,-1.5597,-1.2284,10.3737,0.0144,-0.0286,9.8066,-0.0577,0.2114,-0.0878,-16.75,-32.87,10.63,307.32,-85.0,-168.97
5310,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 25,845007,2020-01-08 16:35:19:983,-0.8392,1.5961,8.681,0.0127,-0.0382,9.8065,-0.0612,0.1383,-0.1004,-16.12,-32.69,11.81,312.27,-84.93,-168.28
5311,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 25,845108,2020-01-08 16:35:20:084,0.8187,-0.1855,10.5811,0.0142,-0.0032,9.8065,-0.0327,-0.0578,0.0324,-15.5,-32.81,11.38,310.02,-84.88,-169.13
5312,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 25,845209,2020-01-08 16:35:20:185,-0.1741,0.2739,9.122,0.03,0.0025,9.8065,-0.0124,-0.1232,0.1092,-16.75,-33.31,11.69,307.88,-84.71,-170.57
5313,52.3548,-1.878015,222.06,25.58,4,101.74,24 / 25,845308,2020-01-08 16:35:20:284,0.3778,0.775,10.3095,0.0117,0.0229,9.8066,-0.043,-0.143,0.1153,-17.37,-32.87,11.19,304.64,-84.78,-171.13
