,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
8925,52.583202,-1.665991,155.8,24.04,4,59.43,22 / 22,3166508,2020-01-08 17:14:01:484,1.0028,-0.6357,9.1736,-0.0234,-0.0061,9.8066,0.1,0.2292,-0.0098,-17.81,-33.12,-2.25,266.63,-85.41,-168.65
8926,52.583202,-1.665991,155.8,24.04,4,59.43,22 / 22,3166608,2020-01-08 17:14:01:584,-0.49,0.2651,8.3831,-0.0226,-0.0255,9.8065,-0.0205,0.0754,-0.1654,-18.44,-34.0,-3.25,261.44,-85.4,-170.6
8927,52.583202,-1.665991,155.8,24.04,4,59.43,22 / 22,3166708,2020-01-08 17:14:01:684,2.5647,0.393,11.9312,-0.0402,-0.0043,9.8065,-0.0595,0.0789,0.0049,-18.06,-33.62,-3.19,262.48,-85.51,-169.74
8928,52.583202,-1.665991,155.8,24.04,4,59.43,22 / 22,3166808,2020-01-08 17:14:01:784,0.6287,1.2347,9.3144,-0.0254,-0.0177,9.8065,-0.0892,0.0242,-0.1612,-18.94,-35.37,-4.19,258.66,-85.34,-171.21
8929,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3166908,2020-01-08 17:14:01:884,0.7277,2.3457,10.6901,-0.0521,-0.0072,9.8064,-0.1683,0.0532,0.013,-16.87,-34.62,-3.37,259.83,-85.36,-170.87
8930,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3167008,2020-01-08 17:14:01:984,1.5324,-3.279,9.7204,0.0115,-0.062,9.8064,0.0848,-0.0009,0.1294,-16.62,-35.31,-4.5,255.01,-85.34,-172.71
8931,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3167108,2020-01-08 17:14:02:084,-1.2142,-0.4426,9.3472,0.0055,-0.0068,9.8066,0.0529,-0.1034,-0.0893,-16.56,-34.75,-2.44,261.57,-85.44,-172.46
8932,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3167208,2020-01-08 17:14:02:184,1.4419,-0.152,9.9082,-0.0194,0.0034,9.8066,0.0565,-0.0949,0.0493,-17.5,-34.19,-2.56,260.12,-85.72,-171.55
8933,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3167308,2020-01-08 17:14:02:284,-0.017,1.0753,9.5871,0.0078,-0.0205,9.8066,0.0372,-0.0658,-0.0495,-17.25,-35.0,-2.62,260.82,-85.72,-170.58
8934,52.583202,-1.665991,155.8,24.04,4,59.43,24 / 24,3167408,2020-01-08 17:14:02:384,1.2143,-0.3083,9.6343,0.015,0.0127,9.8065,-0.0167,-0.0726,-0.036,-16.94,-35.5,-3.25,259.67,-85.73,-171.78
