,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
24721,52.318745,-1.134083,191.78,30.94,6,142.91,20 / 20,2472110,2020-01-08 10:56:58:784,0.6755,2.0368,9.6244,0.007,0.0204,9.8066,-0.105,0.1091,-0.0458,-21.75,-32.06,31.31,349.72,-85.33,-154.18
24722,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472211,2020-01-08 10:56:58:885,-1.3668,-0.6807,10.14,-0.0167,0.0115,9.8066,-0.142,0.3027,-0.0748,-22.0,-31.12,30.5,348.49,-85.32,-155.35
24723,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472311,2020-01-08 10:56:58:985,-0.3892,0.9302,10.4295,0.0054,0.0317,9.8065,-0.0756,0.2339,-0.1018,-21.69,-31.5,31.25,347.93,-85.35,-155.87
24724,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472411,2020-01-08 10:56:59:085,0.5267,0.526,8.8576,0.0153,0.0039,9.8066,-0.085,0.2771,-0.1843,-22.12,-31.5,30.75,348.93,-85.52,-154.97
24725,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472514,2020-01-08 10:56:59:188,-0.1719,1.7751,9.1088,0.0042,0.028,9.8065,-0.0943,0.2478,-0.1204,-22.31,-31.69,31.13,354.22,-85.35,-150.0
24726,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472610,2020-01-08 10:56:59:284,-2.5113,0.1834,10.3626,0.004,0.0385,9.8065,0.0177,-0.1025,0.0352,-22.12,-31.69,30.81,354.32,-85.51,-149.92
24727,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472711,2020-01-08 10:56:59:385,-0.3571,2.7717,8.8311,-0.0072,-0.0133,9.8066,0.0809,-0.2989,0.112,-22.5,-31.62,31.19,354.28,-85.46,-149.96
24728,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472811,2020-01-08 10:56:59:485,1.235,0.0873,11.2866,-0.0254,0.0259,9.8065,0.0212,-0.2577,0.0421,-22.12,-31.75,30.75,354.4,-85.62,-149.86
24729,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2472911,2020-01-08 10:56:59:585,-2.2382,0.031,9.3813,-0.0193,-0.004,9.8065,-0.0364,-0.026,0.0671,-22.37,-31.37,31.75,351.59,-85.59,-153.36
24730,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2473011,2020-01-08 10:56:59:685,1.511,0.2743,9.1644,-0.0228,0.0162,9.8065,-0.1325,0.0312,-0.0033,-22.06,-31.75,30.75,350.59,-85.75,-153.43
24731,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2473110,2020-01-08 10:56:59:784,-1.5735,-0.3197,9.8811,-0.0287,0.0078,9.8065,-0.1534,0.0083,-0.0265,-21.94,-32.06,30.75,353.81,-85.93,-150.45
24732,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473211,2020-01-08 10:56:59:885,-1.8555,0.4649,9.5145,0.0075,-0.0135,9.8066,0.0345,0.1279,-0.0259,-22.0,-32.31,31.06,353.14,-85.94,-151.07
24733,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473310,2020-01-08 10:56:59:984,1.6668,0.5424,10.7057,0.0539,-0.0038,9.8065,0.0708,0.0286,-0.004,-21.62,-32.06,31.0,352.88,-85.98,-151.32
24734,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473411,2020-01-08 10:57:00:085,-1.1412,0.1943,9.1882,0.0282,0.0251,9.8065,0.0909,-0.0288,-0.0403,-21.69,-32.12,30.75,348.07,-86.03,-155.85
24735,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473510,2020-01-08 10:57:00:184,-0.4437,1.4246,8.9804,0.0344,-0.0118,9.8066,0.1211,-0.001,-0.0146,-21.62,-31.69,30.81,347.08,-86.0,-156.77
24736,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473611,2020-01-08 10:57:00:285,-2.3004,1.0256,9.6192,0.0082,-0.007,9.8066,0.0677,-0.0393,0.0224,-21.44,-31.87,31.31,349.54,-85.9,-155.69
24737,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473710,2020-01-08 10:57:00:384,-0.8193,0.7487,10.6807,0.0225,-0.0249,9.8066,-0.0259,-0.2123,0.1286,-21.94,-32.37,31.44,347.37,-85.77,-156.46
24738,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473811,2020-01-08 10:57:00:485,-0.0587,2.7024,9.1698,0.0317,-0.0092,9.8065,-0.1247,-0.0206,0.0296,-21.81,-32.0,31.0,347.98,-85.94,-155.92
24739,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2473911,2020-01-08 10:57:00:585,-0.5986,-0.2563,10.6636,-0.0098,-0.0122,9.8066,-0.1521,0.1084,-0.048,-21.19,-31.56,31.13,348.92,-85.99,-156.29
24740,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2474011,2020-01-08 10:57:00:685,0.7484,2.8295,8.9197,-0.0104,-0.0389,9.8065,-0.1196,0.2028,-0.0741,-21.37,-32.31,30.88,348.39,-86.01,-156.78
24741,52.318745,-1.134083,191.78,30.94,6,142.91,19 / 20,2474110,2020-01-08 10:57:00:784,-3.0069,-0.1716,8.9233,-0.0515,0.0014,9.8065,-0.0463,0.2243,-0.2171,-21.31,-31.94,31.25,348.14,-86.02,-157.02
24742,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474211,2020-01-08 10:57:00:885,-0.3565,2.4821,10.0692,-0.0548,-0.0149,9.8064,0.0683,0.5073,-0.2495,-21.94,-31.56,30.25,351.96,-86.17,-151.31
24743,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474311,2020-01-08 10:57:00:985,-1.5093,0.5097,10.3352,0.0069,-0.0138,9.8066,0.0209,0.3208,-0.2244,-21.69,-31.31,31.31,350.4,-86.22,-153.7
24744,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474411,2020-01-08 10:57:01:085,2.4632,2.2289,9.3845,-0.0366,-0.0402,9.8065,0.0897,0.5153,-0.266,-21.37,-31.44,30.38,351.44,-86.0,-153.04
24745,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474511,2020-01-08 10:57:01:185,-3.2459,0.2022,9.2002,-0.0349,0.012,9.8065,0.0974,0.2062,-0.1868,-22.12,-31.25,30.69,352.36,-86.03,-151.83
24746,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474611,2020-01-08 10:57:01:285,1.5685,0.7419,11.3599,-0.0749,0.0235,9.8063,0.2195,0.1582,-0.1673,-21.56,-31.31,30.81,355.33,-86.1,-149.04
24747,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474711,2020-01-08 10:57:01:385,-2.1244,-0.7422,8.9569,-0.025,-0.0007,9.8065,0.2026,0.3043,-0.2888,-21.44,-31.5,30.31,354.61,-86.08,-150.07
24748,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474811,2020-01-08 10:57:01:485,2.1887,1.6688,10.8496,-0.0742,0.0034,9.8063,0.1532,0.3046,-0.277,-21.31,-31.19,30.63,358.16,-86.05,-147.62
24749,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2474910,2020-01-08 10:57:01:584,-1.1915,1.0622,8.8538,-0.0169,0.0131,9.8066,0.1277,0.0627,-0.0764,-21.75,-31.19,31.31,354.31,-86.02,-150.0
24750,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475011,2020-01-08 10:57:01:685,1.3048,0.4508,10.3474,-0.0443,0.019,9.8065,0.0782,-0.1455,0.0485,-22.0,-31.44,30.81,356.57,-86.09,-147.87
24751,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475111,2020-01-08 10:57:01:785,0.9239,0.6023,8.6895,0.006,0.0422,9.8065,0.0315,-0.3112,0.1004,-21.81,-31.06,30.38,354.67,-86.28,-148.78
24752,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475211,2020-01-08 10:57:01:885,-2.8058,0.3832,10.3391,0.0093,0.0339,9.8065,0.0673,-0.1745,0.0983,-21.62,-31.56,30.5,356.03,-86.37,-148.39
24753,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475311,2020-01-08 10:57:01:985,-0.7364,1.2142,9.466,0.0039,0.0177,9.8066,0.0313,-0.2811,0.104,-21.94,-31.5,30.94,355.18,-86.38,-149.2
24754,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475411,2020-01-08 10:57:02:085,-1.9859,-0.7604,11.5389,0.0152,0.0176,9.8066,0.0969,-0.1532,0.1425,-21.19,-31.25,31.31,354.99,-86.28,-150.62
24755,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475510,2020-01-08 10:57:02:184,0.4426,0.7263,9.1274,-0.0171,0.0141,9.8066,0.1594,-0.0273,-0.0451,-21.31,-30.94,30.94,352.62,-85.97,-152.82
24756,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475611,2020-01-08 10:57:02:285,0.5728,-0.4498,10.5164,-0.0061,0.0293,9.8066,0.1072,0.0495,-0.0887,-20.75,-31.5,30.81,353.41,-86.1,-152.09
24757,52.318745,-1.134083,191.78,30.94,6,142.91,21 / 21,2475711,2020-01-08 10:57:02:385,-0.5147,-0.0145,9.1957,-0.0121,0.0283,9.8065,0.0239,0.0634,0.0568,-21.44,-30.87,31.06,353.03,-86.15,-152.45
