,1411812122840,41.1781183,-8.5980907,0.0,73.06700134277344
1200,1411814804000,41.15847866,-8.60896359,150.5,44.0
1201,1411814805000,41.15855242,-8.60895523,150.89999389648438,48.0
1202,1411814806000,41.15864263,-8.60892818,151.0,50.0
1203,1411814807000,41.15874163,-8.60889076,151.10000610351565,52.0
1204,1411814808000,41.15881771,-8.60888147,150.89999389648438,53.0
1205,1411814809000,41.15884034,-8.60881688,150.8000030517578,46.0
1206,1411814810000,41.15892234,-8.60878618,150.8000030517578,43.0
1207,1411814811000,41.15900791,-8.60876012,150.89999389648438,45.0
1208,1411814812000,41.15907995,-8.60874374,151.0,46.0
1209,1411814813000,41.15914774,-8.60875357,151.0,43.0
1210,1411814814000,41.15916362,-8.60869561,150.89999389648438,39.0
1211,1411814816000,41.1592681,-8.60872878,151.10000610351565,42.0
1212,1411814817000,41.15940794,-8.6085963,152.5,38.0
1213,1411814818000,41.15949786,-8.60858536,152.6999969482422,37.0
1214,1411814819000,41.15957677,-8.60853033,152.5,36.0
1215,1411814820000,41.15970403,-8.60843482,153.39999389648438,38.0
1216,1411814821000,41.15977291,-8.60838546,153.39999389648438,42.0
1217,1411814822000,41.15992879,-8.60835097,154.1999969482422,44.0
1218,1411814823000,41.16005733,-8.6083109,154.0,51.0
1219,1411814824000,41.1601321,-8.60827732,154.0,58.0
1220,1411814825000,41.1602701,-8.60826548,154.1999969482422,63.0
1221,1411814826000,41.16033899,-8.60822276,154.5,64.0
1222,1411814827000,41.16043833,-8.6081909,154.6999969482422,67.0
1223,1411814828000,41.16046325,-8.60810589,154.6999969482422,57.0
1224,1411814829000,41.16056852,-8.60806257,154.8000030517578,57.0
1225,1411814830000,41.16067826,-8.60801629,154.8000030517578,58.0
1226,1411814831000,41.1607774,-8.607976559999999,154.6999969482422,60.0
1227,1411814832000,41.16088291,-8.6079395,154.6999969482422,63.0
1228,1411814833000,41.16098119,-8.6079044,154.6999969482422,67.0
1229,1411814834000,41.16107932,-8.60786937,154.8000030517578,71.0
1230,1411814864000,41.16457537,-8.60613275,155.1999969482422,47.0
1231,1411814869000,41.16467615,-8.60607954,158.39999389648438,36.0
1232,1411814870000,41.16472223,-8.60605939,158.5,40.0
1233,1411814871000,41.16478186,-8.60603805,159.0,38.0
1234,1411814872000,41.16485268,-8.60599517,159.5,36.0
1235,1411814873000,41.16492859,-8.60596135,159.5,37.0
1236,1411814874000,41.16501417,-8.60597606,159.5,38.0
1237,1411814876000,41.1652341,-8.60607996,158.60000610351565,28.0
1238,1411814877000,41.16525072,-8.60614885,157.1999969482422,25.0
1239,1411814878000,41.16531628,-8.60618051,157.10000610351565,23.0
1240,1411814879000,41.16545905,-8.60619605,157.89999389648438,25.0
1241,1411814880000,41.16553859,-8.60621025,157.60000610351565,25.0
1242,1411814881000,41.16562111,-8.6062179,158.0,22.0
1243,1411814882000,41.16579904,-8.60625712,159.10000610351565,20.0
1244,1411814883000,41.16585602,-8.60628185,166.39999389648438,18.0
1245,1411814884000,41.1657662,-8.60633104,181.3000030517578,13.0
1246,1411814885000,41.16583374,-8.60635299,186.10000610351565,9.0
1247,1411814886000,41.165929,-8.60636905,186.10000610351565,9.0
1248,1411814887000,41.16603937,-8.60637791,188.60000610351565,10.0
1249,1411814888000,41.16616256,-8.60636254,189.8000030517578,11.0
1250,1411814889000,41.16627607,-8.60636969,191.10000610351565,11.0
1251,1411814890000,41.16637385,-8.60638575,190.0,11.0
1252,1411814891000,41.16649018,-8.6064071,190.1999969482422,12.0
1253,1411814892000,41.16662006,-8.60642805,190.5,12.0
1254,1411814893000,41.16672053,-8.60639293,191.3000030517578,14.0
1255,1411814894000,41.16684807,-8.60640249,191.10000610351565,15.0
1256,1411814895000,41.16697481,-8.60638275,192.1999969482422,16.0
1257,1411814896000,41.16710267,-8.60637493,193.1999969482422,19.0
1258,1411814897000,41.16722222,-8.60637742,192.8000030517578,22.0
1259,1411814898000,41.1673453,-8.60639248,192.8999938964844,25.0
1260,1411814899000,41.16749111,-8.60643495,193.6999969482422,31.0
1261,1411814900000,41.1676252,-8.60642708,194.1999969482422,30.0
1262,1411814901000,41.16780203,-8.60643864,194.5,25.0
1263,1411814902000,41.16794484,-8.60641808,194.6999969482422,27.0
1264,1411814903000,41.16807692,-8.60642836,195.10000610351565,25.0
1265,1411814904000,41.16819746,-8.60645078,195.3000030517578,24.0
1266,1411814905000,41.16832677,-8.60646155,195.3000030517578,22.0
1267,1411814906000,41.16845613,-8.60646915,195.3999938964844,22.0
1268,1411814907000,41.16857956,-8.60647155,195.5,20.0
1269,1411814908000,41.16852459,-8.60639855,194.6999969482422,17.0
1270,1411814909000,41.16866524,-8.60638647,194.5,18.0
1271,1411814910000,41.16878584,-8.60638946,194.6999969482422,19.0
1272,1411814911000,41.1688635,-8.60635991,195.1999969482422,19.0
1273,1411814912000,41.16896717,-8.60634298,195.1999969482422,19.0
1274,1411814913000,41.16908455,-8.60629892,195.3000030517578,18.0
1275,1411814914000,41.16917651,-8.60620231,195.3999938964844,17.0
1276,1411814915000,41.16926189,-8.60608152,194.8999938964844,15.0
1277,1411814916000,41.16937957,-8.6060039,194.8000030517578,14.0
1278,1411814917000,41.16949533,-8.60594081,194.8999938964844,14.0
1279,1411814918000,41.16960889,-8.60584416,195.0,14.0
1280,1411814919000,41.16972836,-8.60573607,194.5,13.0
1281,1411814920000,41.16982603,-8.60567225,194.8999938964844,13.0
1282,1411814921000,41.16992068,-8.60560279,194.5,13.0
1283,1411814922000,41.1700171,-8.60551532,194.3999938964844,13.0
1284,1411814923000,41.17008533,-8.60545469,194.3000030517578,12.0
1285,1411814924000,41.17019038,-8.60538758,194.10000610351565,12.0
1286,1411814925000,41.17024855,-8.60532857,192.3000030517578,11.0
1287,1411814926000,41.17032168,-8.60526094,192.6999969482422,11.0
1288,1411814927000,41.17038724,-8.6051977,194.8000030517578,11.0
1289,1411814928000,41.17045822,-8.60515095,192.3999938964844,10.0
1290,1411814929000,41.17052751,-8.60509397,189.8999938964844,10.0
1291,1411814930000,41.17064271,-8.60503526,188.8999938964844,10.0
1292,1411814931000,41.17073492,-8.60498099,188.60000610351565,10.0
1293,1411814932000,41.17083981,-8.60491057,189.10000610351565,10.0
1294,1411814933000,41.17092321,-8.6048219,189.8999938964844,10.0
1295,1411814934000,41.17098618,-8.60474953,189.3999938964844,10.0
1296,1411814935000,41.171074,-8.60467616,187.5,10.0
1297,1411814936000,41.17119681,-8.60458898,184.3000030517578,11.0
1298,1411814937000,41.17131253,-8.60449206,182.60000610351565,10.0
1299,1411814938000,41.17143023,-8.60440489,181.10000610351565,10.0
1300,1411814939000,41.17153851,-8.60431314,180.8999938964844,10.0
1301,1411814940000,41.17164199,-8.60424108,180.1999969482422,10.0
1302,1411814941000,41.17175033,-8.60416855,180.0,10.0
1303,1411814942000,41.17187694,-8.60415245,179.3000030517578,10.0
1304,1411814943000,41.17199993,-8.60415438,177.8000030517578,10.0
1305,1411814944000,41.1720993,-8.6041696,176.39999389648438,10.0
1306,1411814945000,41.1722139,-8.60420387,175.3000030517578,10.0
1307,1411814946000,41.17232906,-8.60426533,175.0,10.0
1308,1411814947000,41.17242871,-8.60434259,173.60000610351565,10.0
1309,1411814948000,41.17252008,-8.60443303,174.5,10.0
1310,1411814949000,41.17260982,-8.6045469,173.39999389648438,10.0
1311,1411814950000,41.17268338,-8.60465111,173.8000030517578,11.0
1312,1411814951000,41.17274625,-8.60476697,174.3000030517578,10.0
1313,1411814952000,41.17281397,-8.6048792,174.39999389648438,11.0
1314,1411814953000,41.17288027,-8.60498884,174.1999969482422,12.0
1315,1411814954000,41.17293037,-8.60510236,174.10000610351565,12.0
1316,1411814955000,41.17293923,-8.60525088,175.1999969482422,12.0
1317,1411814956000,41.17296668,-8.60537155,175.3000030517578,11.0
1318,1411814957000,41.1730056,-8.60546734,175.39999389648438,12.0
1319,1411814958000,41.1730574,-8.60553914,175.5,12.0
