,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
1876,1457871638.0,41.164502483,-8.591375717,154.3,8.385,101.80,1.2,?,?
1877,1457871639.0,41.164488083,-8.591274933,153.2,8.643,99.80,1.2,?,?
1878,1457871640.0,41.164473267,-8.5911756,152.7,8.540,101.00,1.2,?,?
1879,1457871641.0,41.1644609,-8.591082833,152.4,8.231,101.30,1.2,?,?
1880,1457871642.0,41.164450667,-8.590997933,152.5,7.254,101.60,1.2,?,?
1881,1457871643.0,41.164439033,-8.590923983,152.3,6.173,102.10,1.4,?,?
1882,1457871644.0,41.164429867,-8.5908604,153.2,5.042,105.10,1.1,?,?
1883,1457871645.0,41.1644165,-8.590815,151.2,3.961,108.00,1.1,?,?
1884,1457871646.0,41.164395617,-8.5907516,151.6,5.144,119.00,1.2,?,?
1885,1457871647.0,41.1643722,-8.59069025,151.4,5.505,123.50,1.5,?,?
1886,1457871648.0,41.164339867,-8.590620167,149.5,5.916,125.10,1.3,?,?
1887,1457871649.0,41.16430885,-8.590552017,148.8,6.122,123.20,3.5,?,?
1888,1457871650.0,41.16428115,-8.590486517,148.6,6.225,119.20,2.9,?,?
1889,1457871651.0,41.1642533,-8.5904154,148.8,6.328,119.40,2.9,?,?
1890,1457871652.0,41.164219767,-8.590345533,149.1,6.739,123.60,2.9,?,?
1891,1457871653.0,41.164187367,-8.590277733,149.3,6.636,125.40,3.5,?,?
1892,1457871654.0,41.164158733,-8.59021785,149.6,6.019,126.60,4.9,?,?
1893,1457871655.0,41.164137533,-8.5901691,149.6,4.990,126.70,4.9,?,?
1894,1457871656.0,41.16412205,-8.590128433,149.6,4.013,126.00,4.9,?,?
1895,1457871657.0,41.164114533,-8.59009465,149.8,3.035,122.50,2.8,?,?
1896,1457871658.0,41.164110067,-8.590070317,150.0,2.109,121.30,2.8,?,?
1897,1457871659.0,41.164111167,-8.59005355,150.4,1.183,113.80,2.8,?,?
1898,1457871660.0,41.164109283,-8.590045633,150.4,0.514,115.00,2.8,?,?
1899,1457871661.0,41.16411125,-8.590040483,151.0,0.103,75.80,2.8,?,?
1900,1457871662.0,41.164117167,-8.590037267,151.5,0.360,1.50,2.8,?,?
1901,1457871663.0,41.1641153,-8.590031933,151.8,0.154,66.60,1.7,?,?
1902,1457871664.0,41.164116183,-8.590022,153.2,0.206,77.20,1.7,?,?
1903,1457871665.0,41.16411635,-8.590013967,154.2,0.206,78.00,1.7,?,?
