,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
1727,1518258926.0,41.241328467,-8.562185817,112.4,11.884,358.00,1.5,2.0,2.5
1728,1518258927.0,41.241435383,-8.56218945,111.9,11.987,358.30,1.9,2.0,2.7
1729,1518258928.0,41.241541683,-8.5621964,111.6,11.884,356.60,1.9,2.0,2.7
1730,1518258929.0,41.241655833,-8.562214733,110.6,11.832,353.70,1.1,?,?
1731,1518258930.0,41.24176485,-8.562237183,109.7,11.832,349.40,1.2,?,?
1732,1518258931.0,41.2418728,-8.562268667,109.0,11.832,345.50,1.1,?,?
1733,1518258932.0,41.241978917,-8.562308467,108.4,11.781,343.00,1.1,?,?
1734,1518258933.0,41.242081967,-8.562349,107.5,11.832,343.90,1.1,?,?
1735,1518258934.0,41.242185733,-8.562383083,106.7,11.524,348.40,0.9,?,?
1736,1518258935.0,41.242283533,-8.562400933,105.5,10.443,358.00,0.9,?,?
1737,1518258936.0,41.242374383,-8.562394,105.1,10.032,12.80,0.8,?,?
1738,1518258937.0,41.242461117,-8.562358383,104.7,10.032,25.90,1.0,?,?
1739,1518258938.0,41.2425449,-8.5623001,104.2,10.392,33.40,1.0,?,?
1740,1518258939.0,41.242620717,-8.562224983,104.6,10.443,38.60,1.0,?,?
1741,1518258940.0,41.2426871,-8.5621379,105.0,10.495,47.30,1.0,?,?
1742,1518258941.0,41.24273785,-8.562031117,104.7,10.906,62.10,1.0,?,?
1743,1518258942.0,41.242769,-8.561902917,104.6,11.832,76.30,1.3,?,?
1744,1518258943.0,41.2427927,-8.561753067,104.3,13.581,80.00,1.3,?,?
1745,1518258944.0,41.242820067,-8.561586833,103.6,14.765,78.30,1.3,?,?
1746,1518258945.0,41.242848633,-8.561418383,102.9,14.507,77.60,1.3,?,?
1747,1518258946.0,41.242876733,-8.561251867,102.1,14.250,77.50,1.3,?,?
1748,1518258947.0,41.242905067,-8.56108655,101.3,14.147,77.30,1.3,?,?
1749,1518258948.0,41.24293405,-8.560922683,100.5,14.096,76.80,1.3,?,?
1750,1518258949.0,41.242962333,-8.560759367,99.8,13.993,77.10,1.3,?,?
1751,1518258950.0,41.242990617,-8.560596967,99.0,13.941,77.10,1.3,?,?
1752,1518258951.0,41.2430189,-8.560435317,98.3,13.890,77.00,1.3,?,?
1753,1518258952.0,41.243046867,-8.560274683,97.5,13.736,77.10,1.3,?,?
1754,1518258953.0,41.24307465,-8.560114717,96.7,13.787,77.00,1.3,?,?
1755,1518258954.0,41.24310205,-8.5599564,96.0,13.633,77.10,1.3,?,?
1756,1518258955.0,41.2431288,-8.559802733,95.2,13.015,77.20,1.3,?,?
1757,1518258956.0,41.24315405,-8.5596575,94.5,12.141,77.40,1.3,?,?
1758,1518258957.0,41.243177467,-8.5595205,93.9,11.524,77.50,1.3,?,?
1759,1518258958.0,41.243200533,-8.5593849,93.2,11.626,77.40,1.3,?,?
1760,1518258959.0,41.243223633,-8.559249367,92.7,11.678,77.30,1.3,?,?
1761,1518258960.0,41.243246633,-8.559115233,92.4,11.421,77.10,1.3,?,?
1762,1518258961.0,41.243268417,-8.558985683,92.6,10.855,77.30,1.3,?,?
1763,1518258962.0,41.24328835,-8.558863433,93.0,10.135,77.00,1.1,?,?
1764,1518258963.0,41.243307933,-8.558739767,93.5,10.649,76.50,1.1,?,?
1765,1518258964.0,41.243329817,-8.5586072,94.1,11.626,76.70,1.1,?,?
1766,1518258965.0,41.243352717,-8.558468183,94.8,12.038,77.20,1.3,?,?
1767,1518258966.0,41.243375983,-8.55832985,95.5,11.781,77.00,1.3,?,?
1768,1518258967.0,41.243399217,-8.55819305,96.2,11.678,77.00,1.3,?,?
1769,1518258968.0,41.243422483,-8.558057783,96.9,11.524,76.80,1.3,?,?
1770,1518258969.0,41.243445433,-8.557923483,97.6,11.472,77.00,1.3,?,?
1771,1518258970.0,41.243468533,-8.5577901,98.3,11.421,77.00,1.2,?,?
1772,1518258971.0,41.243491583,-8.557657083,99.0,11.421,77.10,1.2,?,?
1773,1518258972.0,41.243514533,-8.557523917,99.7,11.472,77.20,1.2,?,?
1774,1518258973.0,41.243537583,-8.5573905,100.4,11.472,77.00,1.2,?,?
1775,1518258974.0,41.243560583,-8.557256683,101.1,11.421,77.10,0.9,?,?
1776,1518258975.0,41.243583967,-8.5571212,101.5,11.729,77.40,0.9,?,?
1777,1518258976.0,41.24360835,-8.556983817,101.9,11.935,77.40,0.9,?,?
1778,1518258977.0,41.2436331,-8.55684485,102.0,12.089,77.40,1.0,?,?
1779,1518258978.0,41.243657683,-8.556703917,102.1,12.244,77.60,1.0,?,?
1780,1518258979.0,41.243682167,-8.55656275,102.2,12.141,77.50,1.0,?,?
1781,1518258980.0,41.24370675,-8.556423067,102.2,11.987,77.20,1.0,?,?
1782,1518258981.0,41.243731983,-8.556283633,101.9,12.089,76.60,1.0,?,?
1783,1518258982.0,41.243758217,-8.556143,101.5,12.295,76.50,1.1,?,?
1784,1518258983.0,41.243784467,-8.5560008,101.1,12.347,76.80,1.1,?,?
1785,1518258984.0,41.24380965,-8.55585975,100.6,12.141,77.40,1.1,?,?
1786,1518258985.0,41.243833667,-8.5557199,100.1,12.038,77.50,1.1,?,?
1787,1518258986.0,41.243857367,-8.55558185,99.7,11.781,77.30,1.1,?,?
1788,1518258987.0,41.2438811,-8.555447317,99.5,11.472,76.90,1.1,?,?
1789,1518258988.0,41.243904533,-8.555316133,99.6,11.163,76.50,1.1,?,?
1790,1518258989.0,41.243926567,-8.5551887,99.8,10.546,76.40,1.3,?,?
1791,1518258990.0,41.24394675,-8.55506815,100.1,9.929,76.00,1.3,?,?
1792,1518258991.0,41.243964317,-8.5549565,100.5,9.157,78.90,1.3,?,?
